The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  1.12503239E+00  -9.17501362E-01  -8.63469951E-01
  1.06842054E+00  -1.02698498E+00  -1.04305775E+00
  1.02422393E+00  -9.73727880E-01  -1.05802534E+00
  9.88394799E-01  -8.04478795E-01  -9.21514967E-01
  9.57812645E-01  -5.60874194E-01  -6.66771894E-01
  9.30195938E-01  -2.77922555E-01  -3.39029148E-01
  9.03769854E-01   1.43778408E-02   1.13533771E-02
  8.76954213E-01   2.88978047E-01   3.34351347E-01
  8.48080905E-01   5.20057766E-01   5.85144925E-01
  8.15092073E-01   6.82199322E-01   7.29470113E-01
  7.75204765E-01   7.51363908E-01   7.50034116E-01
  7.24715695E-01   7.09790069E-01   6.53394623E-01
  6.59722288E-01   5.57984604E-01   4.73536899E-01
  5.79389947E-01   3.31363048E-01   2.63617477E-01
  4.90906539E-01   9.90462574E-02   7.23547286E-02
  4.07606518E-01  -7.67922125E-02  -7.52104527E-02
  3.38721477E-01  -1.77823439E-01  -1.73986054E-01
  2.85346669E-01  -2.18644575E-01  -2.28015994E-01
  2.44556470E-01  -2.21033697E-01  -2.45527404E-01
  2.13105801E-01  -2.02416722E-01  -2.36669562E-01
  1.88649977E-01  -1.74577721E-01  -2.11715875E-01
  1.69863519E-01  -1.45058739E-01  -1.79764364E-01
  1.56357758E-01  -1.18485975E-01  -1.47911407E-01
  1.48666981E-01  -9.73184264E-02  -1.20704671E-01
  1.48284692E-01  -8.20043073E-02  -9.97004805E-02
  1.57603347E-01  -7.04948609E-02  -8.30278181E-02
  1.79663806E-01  -5.69764946E-02  -6.50076425E-02
  2.17750813E-01  -2.98878541E-02  -3.60892747E-02
  2.74337788E-01   2.90039236E-02   1.62474392E-02
  3.47912184E-01   1.37765723E-01   1.04231853E-01
  4.29160275E-01   2.92643583E-01   2.31740352E-01
  5.04633369E-01   4.52188468E-01   3.82079007E-01
  5.66629641E-01   5.61854484E-01   5.15497843E-01
  6.15325567E-01   5.89695827E-01   5.87025765E-01
  6.54128144E-01   5.31660485E-01   5.66970526E-01
  6.86444785E-01   3.99645351E-01   4.48175844E-01
  7.14895183E-01   2.11718752E-01   2.43340144E-01
  7.41448113E-01  -1.21949225E-02  -2.04995797E-02
  7.67722674E-01  -2.51349791E-01  -3.07176191E-01
  7.95272034E-01  -4.83614900E-01  -5.75760690E-01
  8.25855941E-01  -6.84066380E-01  -7.84545886E-01
  8.61745380E-01  -8.23189043E-01  -8.95525749E-01
  9.06045416E-01  -8.65316897E-01  -8.80049401E-01
  9.62767133E-01  -7.69565777E-01  -7.25573172E-01
  1.03565994E+00  -4.99976757E-01  -4.41042020E-01
  1.12414217E+00  -5.58316031E-02  -5.51537703E-02
  1.21847052E+00   4.86240909E-01   3.91125976E-01
  1.30402038E+00   9.81169148E-01   8.39368466E-01
  1.37284690E+00   1.30153241E+00   1.20498174E+00
  1.42587901E+00   1.39803623E+00   1.40206752E+00
  1.46739972E+00   1.28435467E+00   1.37946846E+00
  1.50143310E+00   1.00170742E+00   1.13302125E+00
  1.53096832E+00   5.98015226E-01   6.98396162E-01
  1.55818470E+00   1.20668894E-01   1.38765204E-01
  1.58481892E+00  -3.84213608E-01  -4.66440975E-01
  1.61248749E+00  -8.69911373E-01  -1.03081671E+00
  1.64298213E+00  -1.28612845E+00  -1.46939129E+00
  1.67859285E+00  -1.57588323E+00  -1.70802368E+00
  1.72245757E+00  -1.67365730E+00  -1.69509116E+00
  1.77868722E+00  -1.50924370E+00  -1.41505707E+00
  1.85127641E+00  -1.02895744E+00  -8.98331480E-01
  1.94001312E+00  -2.49428929E-01  -2.14539394E-01
  2.03530461E+00   6.79838235E-01   5.50511600E-01
  2.12216541E+00   1.51014983E+00   1.29665793E+00
  2.19217943E+00   2.04121033E+00   1.89446564E+00
  2.24609414E+00   2.20637663E+00   2.21710928E+00
  2.28821826E+00   2.03704885E+00   2.19196639E+00
  2.32264910E+00   1.60376950E+00   1.81786666E+00
  2.35243606E+00   9.84311699E-01   1.15345218E+00
  2.37979755E+00   2.53532710E-01   2.98029988E-01
  2.40649257E+00  -5.17077424E-01  -6.25705759E-01
  2.43414806E+00  -1.25620785E+00  -1.48587273E+00
  2.46455779E+00  -1.88819053E+00  -2.15423670E+00
  2.50000907E+00  -2.32857741E+00  -2.52052161E+00
  2.54363999E+00  -2.48199770E+00  -2.51013292E+00
  2.59958429E+00  -2.24892162E+00  -2.10454097E+00
  2.67192061E+00  -1.55793812E+00  -1.35562094E+00
  2.76059935E+00  -4.43026255E-01  -3.73925018E-01
The toroidal mode    4
 Perpend. k-vec  Curvature        Coriolis
  3.11490092E+00  -4.22542725E-01  -3.61655497E-01
  2.98180348E+00  -1.67568133E+00  -1.46181958E+00
  2.87299519E+00  -2.44878503E+00  -2.29495658E+00
  2.78874044E+00  -2.71257105E+00  -2.74639718E+00
  2.72301802E+00  -2.55199838E+00  -2.76516000E+00
  2.66965263E+00  -2.07970820E+00  -2.37529829E+00
  2.62393647E+00  -1.40144118E+00  -1.65998907E+00
  2.58243481E+00  -6.09536365E-01  -7.39477658E-01
  2.54245880E+00   2.14219295E-01   2.47964003E-01
  2.50157945E+00   9.93596957E-01   1.16135825E+00
  2.45718306E+00   1.65307665E+00   1.87074323E+00
  2.40598549E+00   2.11470555E+00   2.27232717E+00
  2.34347905E+00   2.29913945E+00   2.30686172E+00
  2.26359650E+00   2.13721809E+00   1.97984358E+00
  2.15989488E+00   1.60399889E+00   1.37337506E+00
  2.03103491E+00   7.77760695E-01   6.26535370E-01
  1.88910557E+00  -1.32146736E-01  -1.22577061E-01
  1.75620035E+00  -8.82210305E-01  -7.75885395E-01
  1.64690485E+00  -1.33926815E+00  -1.26073073E+00
  1.56195896E+00  -1.50006045E+00  -1.52383454E+00
  1.49563825E+00  -1.42295711E+00  -1.54641311E+00
  1.44187869E+00  -1.17661509E+00  -1.34803018E+00
  1.39600249E+00  -8.21996468E-01  -9.77405040E-01
  1.35458926E+00  -4.10240641E-01  -5.00580482E-01
  1.31497956E+00   1.49235703E-02   9.06682649E-03
  1.27480835E+00   4.14152247E-01   4.78774220E-01
  1.23158295E+00   7.49983545E-01   8.43475118E-01
  1.18223369E+00   9.85664273E-01   1.05358027E+00
  1.12261681E+00   1.08662884E+00   1.08429909E+00
  1.04723057E+00   1.02770121E+00   9.45617739E-01
  9.50302704E-01   8.10527872E-01   6.87440875E-01
  8.30666987E-01   4.87364706E-01   3.87456934E-01
  6.99115690E-01   1.58249252E-01   1.16501374E-01
  5.75550241E-01  -8.87392847E-02  -8.99512061E-02
  4.73730502E-01  -2.29751262E-01  -2.26504886E-01
  3.95334185E-01  -2.87549843E-01  -3.01271903E-01
  3.36111835E-01  -2.93915837E-01  -3.27666210E-01
  2.91399888E-01  -2.73521979E-01  -3.20762072E-01
  2.57942022E-01  -2.42551758E-01  -2.94821012E-01
  2.34062583E-01  -2.10944917E-01  -2.61683306E-01
  2.19491442E-01  -1.84372154E-01  -2.29830350E-01
  2.15182882E-01  -1.65292463E-01  -2.03809808E-01
  2.23103779E-01  -1.53109565E-01  -1.83792991E-01
  2.46003226E-01  -1.43377001E-01  -1.65166624E-01
  2.87356331E-01  -1.25881762E-01  -1.38263552E-01
  3.51347911E-01  -8.18156772E-02  -8.86081069E-02
  4.41514781E-01   1.70568514E-02   1.50668581E-03
  5.55736659E-01   1.96968718E-01   1.48378499E-01
  6.80247301E-01   4.48645241E-01   3.55579810E-01
  7.95114608E-01   7.04731736E-01   5.95982983E-01
  8.89087358E-01   8.79765623E-01   8.07720959E-01
  9.62700983E-01   9.24960761E-01   9.21290735E-01
  1.02124401E+00   8.35125437E-01   8.91080686E-01
  1.06992729E+00   6.29571130E-01   7.06506036E-01
  1.11273356E+00   3.36892952E-01   3.87763016E-01
  1.15264448E+00  -1.16491929E-02  -2.27861303E-02
  1.19210423E+00  -3.83667878E-01  -4.68727526E-01
  1.23345116E+00  -7.44737173E-01  -8.86393836E-01
  1.27932982E+00  -1.05620267E+00  -1.21106110E+00
  1.33315019E+00  -1.27241827E+00  -1.38391352E+00
  1.39957479E+00  -1.33839237E+00  -1.36082619E+00
  1.48463113E+00  -1.19133256E+00  -1.12283395E+00
  1.59396554E+00  -7.76414169E-01  -6.84427503E-01
  1.72673379E+00  -9.34272710E-02  -9.06999366E-02
  1.86832566E+00   7.39041230E-01   5.94658245E-01
  1.99676918E+00   1.49820276E+00   1.28191717E+00
  2.10011019E+00   1.98928251E+00   1.84194681E+00
  2.17973118E+00   2.13747137E+00   2.14385337E+00
  2.24206116E+00   1.96416671E+00   2.10982758E+00
  2.29314318E+00   1.53266424E+00   1.73377415E+00
  2.33746628E+00   9.16337662E-01   1.07034704E+00
  2.37830276E+00   1.87646531E-01   2.16111046E-01
  2.41825955E+00  -5.82963602E-01  -7.07624702E-01
  2.45976231E+00  -1.32418188E+00  -1.56897786E+00
  2.50549896E+00  -1.95929578E+00  -2.23832921E+00
  2.55890445E+00  -2.40145955E+00  -2.60266042E+00
  2.62468594E+00  -2.55090297E+00  -2.58338883E+00
  2.70901174E+00  -2.30084945E+00  -2.15705980E+00
  2.81788000E+00  -1.56988519E+00  -1.37036169E+00
  2.95098402E+00  -3.83823260E-01  -3.29778372E-01
The toroidal mode    5
 Perpend. k-vec  Curvature        Coriolis
  3.30712769E+00  -3.63339730E-01  -3.17508851E-01
  3.12967071E+00  -1.68762840E+00  -1.47656034E+00
  2.98426030E+00  -2.50071285E+00  -2.34747541E+00
  2.87150642E+00  -2.78147632E+00  -2.81965309E+00
  2.78352775E+00  -2.62488052E+00  -2.84729881E+00
  2.71213851E+00  -2.15081346E+00  -2.45939080E+00
  2.65106947E+00  -1.46941522E+00  -1.74309420E+00
  2.59574215E+00  -6.75422544E-01  -8.21396601E-01
  2.54258011E+00   1.48333116E-01   1.66045060E-01
  2.48836872E+00   9.25622920E-01   1.07825311E+00
  2.42967074E+00   1.58197140E+00   1.78665072E+00
  2.36219082E+00   2.04182341E+00   2.19018836E+00
  2.28005341E+00   2.23023418E+00   2.23360582E+00
  2.17535435E+00   2.08529027E+00   1.92732475E+00
  2.03964799E+00   1.59205182E+00   1.35863431E+00
  1.87094104E+00   8.36963690E-01   6.70682015E-01
  1.68448686E+00   2.38549217E-02   1.26239597E-03
  1.50881773E+00  -6.29667037E-01  -5.61981419E-01
  1.36337902E+00  -1.02135701E+00  -9.68507616E-01
  1.24980223E+00  -1.16479551E+00  -1.18956957E+00
  1.16102323E+00  -1.11949216E+00  -1.22230295E+00
  1.08927036E+00  -9.46689309E-01  -1.08969999E+00
  1.02847447E+00  -6.96822268E-01  -8.32982167E-01
  9.74212121E-01  -4.09694912E-01  -5.02867033E-01
  9.23125230E-01  -1.17394516E-01  -1.52484508E-01
  8.72380075E-01   1.53029973E-01   1.68141074E-01
  8.19233669E-01   3.77847251E-01   4.16959904E-01
  7.60694278E-01   5.36435042E-01   5.65192501E-01
  6.93430304E-01   6.13553373E-01   6.03522298E-01
  6.14680617E-01   6.05934423E-01   5.48356958E-01
  5.26431588E-01   5.34090459E-01   4.44055392E-01
  4.45731383E-01   4.49769038E-01   3.51910768E-01
  4.08789235E-01   4.11049573E-01   3.20033643E-01
  4.32935802E-01   4.28294323E-01   3.52597500E-01
  4.90923002E-01   4.57998838E-01   4.10460179E-01
  5.54682207E-01   4.51885293E-01   4.40513946E-01
  6.14111861E-01   3.85896206E-01   4.02692915E-01
  6.68232562E-01   2.57434836E-01   2.79990823E-01
  7.18721343E-01   7.57706787E-02   7.71298706E-02
  7.67796465E-01  -1.43967279E-01  -1.84337465E-01
  8.17812333E-01  -3.83122148E-01  -4.71014076E-01
  8.71392759E-01  -6.19562974E-01  -7.41970963E-01
  9.31771400E-01  -8.26276895E-01  -9.52730907E-01
  1.00328277E+00  -9.68953323E-01  -1.05980336E+00
  1.09190560E+00  -1.00312743E+00  -1.02656122E+00
  1.20528345E+00  -8.73421423E-01  -8.30610836E-01
  1.35029876E+00  -5.23870901E-01  -4.70523527E-01
  1.52516976E+00   6.25743869E-02   3.31395207E-02
  1.71053545E+00   7.98244225E-01   6.38804891E-01
  1.87817627E+00   1.48625568E+00   1.26717642E+00
  2.01306201E+00   1.93735468E+00   1.78942797E+00
  2.11720318E+00   2.06856610E+00   2.07059746E+00
  2.19897750E+00   1.89128457E+00   2.02768878E+00
  2.26622369E+00   1.46155898E+00   1.64968163E+00
  2.32477337E+00   8.48363626E-01   9.87241908E-01
  2.37889550E+00   1.21760353E-01   1.34192103E-01
  2.43201235E+00  -6.48849781E-01  -7.89543644E-01
  2.48733068E+00  -1.39215592E+00  -1.65208300E+00
