The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  1.98311466E+00   1.94796948E+00   1.96159907E+00
  1.96487231E+00   1.78992033E+00   1.66571439E+00
  1.94119754E+00   1.29685430E+00   1.11815350E+00
  1.91192628E+00   5.17008733E-01   4.22582302E-01
  1.88001386E+00  -3.73538965E-01  -3.10591567E-01
  1.85051618E+00  -1.13645683E+00  -9.85378016E-01
  1.82653229E+00  -1.61259812E+00  -1.50591154E+00
  1.80801356E+00  -1.77039637E+00  -1.78759302E+00
  1.79357194E+00  -1.65433568E+00  -1.78808812E+00
  1.78182474E+00  -1.33180259E+00  -1.51706521E+00
  1.77172851E+00  -8.69415168E-01  -1.02618960E+00
  1.76252370E+00  -3.27366927E-01  -3.94377501E-01
  1.75361318E+00   2.39518689E-01   2.85152244E-01
  1.74445257E+00   7.78783119E-01   9.15382749E-01
  1.73444989E+00   1.23699558E+00   1.40494186E+00
  1.72285562E+00   1.55715950E+00   1.67856972E+00
  1.70863898E+00   1.67852268E+00   1.68991848E+00
  1.69042090E+00   1.54336102E+00   1.43588643E+00
  1.66677509E+00   1.12052740E+00   9.65723678E-01
  1.63752873E+00   4.52476292E-01   3.69453761E-01
  1.60562387E+00  -3.09006523E-01  -2.57463026E-01
  1.57611325E+00  -9.60129939E-01  -8.32948196E-01
  1.55210655E+00  -1.36603881E+00  -1.27608357E+00
  1.53356570E+00  -1.50094957E+00  -1.51591244E+00
  1.51910692E+00  -1.40343762E+00  -1.51725548E+00
  1.50734796E+00  -1.13111524E+00  -1.28878340E+00
  1.49724479E+00  -7.40649677E-01  -8.74504258E-01
  1.48803726E+00  -2.83078988E-01  -3.41289240E-01
  1.47912801E+00   1.95230750E-01   2.32063983E-01
  1.46997289E+00   6.50017628E-01   7.63697409E-01
  1.45998064E+00   1.03630823E+00   1.17666006E+00
  1.44840309E+00   1.30626144E+00   1.40773707E+00
  1.43421126E+00   1.40907588E+00   1.41823789E+00
  1.41602748E+00   1.29680171E+00   1.20605846E+00
  1.39242302E+00   9.44200510E-01   8.13293858E-01
  1.36321310E+00   3.87943850E-01   3.16325220E-01
  1.33132089E+00  -2.44474081E-01  -2.04334484E-01
  1.30179385E+00  -7.83803046E-01  -6.80518376E-01
  1.27775611E+00  -1.11947950E+00  -1.04625560E+00
  1.25918462E+00  -1.23150277E+00  -1.24423185E+00
  1.24470187E+00  -1.15253956E+00  -1.24642284E+00
  1.23292649E+00  -9.30427878E-01  -1.06050160E+00
  1.22281371E+00  -6.11884186E-01  -7.22818918E-01
  1.21360263E+00  -2.38791049E-01  -2.88200978E-01
  1.20469562E+00   1.50942811E-01   1.78975721E-01
  1.19554891E+00   5.21252136E-01   6.12012070E-01
  1.18557240E+00   8.35620869E-01   9.48378255E-01
  1.17401999E+00   1.05536337E+00   1.13690443E+00
  1.15986556E+00   1.13962908E+00   1.14655731E+00
  1.14173387E+00   1.05024240E+00   9.76230494E-01
  1.11819317E+00   7.67873616E-01   6.60864038E-01
  1.08904131E+00   3.23411408E-01   2.63196678E-01
  1.05717265E+00  -1.79941639E-01  -1.51205943E-01
  1.02762487E+00  -6.07476152E-01  -5.28088556E-01
  1.00354273E+00  -8.72920195E-01  -8.16427638E-01
  9.84926112E-01  -9.62055968E-01  -9.72551266E-01
  9.70407675E-01  -9.01641500E-01  -9.75590192E-01
  9.58607841E-01  -7.29740521E-01  -8.32219800E-01
  9.48480987E-01  -4.83118694E-01  -5.71133579E-01
  9.39265238E-01  -1.94503111E-01  -2.35112717E-01
  9.30362726E-01   1.06654873E-01   1.25887460E-01
  9.21230432E-01   3.92486645E-01   4.60326730E-01
  9.11280298E-01   6.34933511E-01   7.20096453E-01
  8.99769830E-01   8.04465314E-01   8.66071784E-01
  8.85678103E-01   8.70182278E-01   8.74876720E-01
  8.67634723E-01   8.03683097E-01   7.46402529E-01
  8.44204618E-01   5.91546723E-01   5.08434219E-01
  8.15158506E-01   2.58878966E-01   2.10068137E-01
  7.83341632E-01  -1.15409197E-01  -9.80774019E-02
  7.53770465E-01  -4.31149259E-01  -3.75658737E-01
