shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     3  0.576662    49    59    39
     3  0.659042    50    60    40
     3  0.741423    51    61    41
     3  0.823803    52    62    42
     3  0.906183    53    63    43
     3  0.988564    54    64    44
     3  1.070944    55    65    45
     3  1.153324    56    66    46
     3  1.235704    57    67    47
     3  1.318085    58    68    48
     3  1.400465    59    69    49
     3  1.482845    60    70    50
     3  1.565226    61    71    51
     3  1.647606    62    72    52
     3  1.729986    63    73    53
     3  1.812366    64    74    54
     3  1.894747    65    75    55
     3  1.977127    66    76    56
     3  2.059507    67    77    57
     3  2.141888    68    78    58
     3  2.224268    69    79    59
     3  2.306648    70    80    60
     3  2.389029    71    81    61
     3  2.471409    72    82    62
     3  2.553789    73    83    63
     3  2.636169    74     0    64
     3  2.718550    75     0    65
     3  2.800930    76     0    66
     3  2.883310    77     0    67
     3  2.965691    78     0    68
     3  3.048071    79     0    69
     3  3.130451    80     0    70
     3  3.212831    81     0    71
     3  3.295212    82     0    72
     3  3.377592    83     0    73
     4 -3.377592     1    16     0
     4 -3.295212     2    17     0
     4 -3.212831     3    18     0
     4 -3.130451     4    19     0
     4 -3.048071     5    20     0
     4 -2.965691     6    21     0
     4 -2.883310     7    22     0
     4 -2.800930     8    23     0
     4 -2.718550     9    24     0
     4 -2.636169    10    25     0
     4 -2.553789    11    26     0
     4 -2.471409    12    27     0
     4 -2.389029    13    28     0
     4 -2.306648    14    29     0
     4 -2.224268    15    30     0
     4 -2.141888    16    31     1
     4 -2.059507    17    32     2
     4 -1.977127    18    33     3
     4 -1.894747    19    34     4
     4 -1.812366    20    35     5
     4 -1.729986    21    36     6
     4 -1.647606    22    37     7
     4 -1.565226    23    38     8
     4 -1.482845    24    39     9
     4 -1.400465    25    40    10
     4 -1.318085    26    41    11
     4 -1.235704    27    42    12
     4 -1.153324    28    43    13
     4 -1.070944    29    44    14
     4 -0.988564    30    45    15
     4 -0.906183    31    46    16
     4 -0.823803    32    47    17
     4 -0.741423    33    48    18
     4 -0.659042    34    49    19
     4 -0.576662    35    50    20
     4 -0.494282    36    51    21
     4 -0.411901    37    52    22
     4 -0.329521    38    53    23
     4 -0.247141    39    54    24
     4 -0.164761    40    55    25
     4 -0.082380    41    56    26
     4 -0.000000    42    57    27
     4  0.082380    43    58    28
     4  0.164761    44    59    29
     4  0.247141    45    60    30
     4  0.329521    46    61    31
     4  0.411901    47    62    32
     4  0.494282    48    63    33
     4  0.576662    49    64    34
     4  0.659042    50    65    35
     4  0.741423    51    66    36
     4  0.823803    52    67    37
     4  0.906183    53    68    38
     4  0.988564    54    69    39
     4  1.070944    55    70    40
     4  1.153324    56    71    41
     4  1.235704    57    72    42
     4  1.318085    58    73    43
     4  1.400465    59    74    44
     4  1.482845    60    75    45
     4  1.565226    61    76    46
     4  1.647606    62    77    47
     4  1.729986    63    78    48
     4  1.812366    64    79    49
     4  1.894747    65    80    50
     4  1.977127    66    81    51
     4  2.059507    67    82    52
     4  2.141888    68    83    53
