  3.08679E-02   3.11973E-01  -1.70552E-18   3.08679E-02   2.62312E-01   2.67239E-17
  1.00211E-01   5.00913E-01   2.68346E-17   1.00211E-01   7.86621E-01   4.94667E-18
  8.68645E-02   3.67218E-01   6.44648E-17   8.68645E-02   5.93107E-01   9.31832E-18
  3.98328E-02   1.46883E-01  -6.06925E-18   3.98328E-02   2.90888E-01  -3.13210E-17
  1.63903E-03   7.35224E-02  -1.07891E-17   1.63903E-03   3.16256E-02  -2.88519E-17
 -2.64657E-02   1.55854E-01   1.31791E-17  -2.64657E-02  -9.59278E-02  -6.25679E-18
 -5.23057E-02   2.73155E-01   2.54747E-17  -5.23057E-02  -1.98146E-01  -5.22857E-17
 -7.83497E-02   3.55656E-01  -1.13595E-17  -7.83497E-02  -3.05553E-01   8.23580E-19
 -1.01438E-01   3.88296E-01  -4.53107E-17  -1.01438E-01  -2.34620E-01   9.17893E-18
 -1.29829E-01   4.40501E-01   1.25657E-17  -1.29829E-01  -1.13065E-01   3.10527E-17
 -1.33028E-01   4.85481E-01  -2.13810E-17  -1.33028E-01  -3.84933E-02  -2.18450E-17
 -1.45471E-01   4.89537E-01  -1.59905E-16  -1.45471E-01   6.25569E-02  -2.35931E-17
 -1.56935E-01   4.88758E-01  -6.73741E-17  -1.56935E-01   5.42939E-02  -5.68782E-18
 -1.65557E-01   4.97624E-01  -3.90476E-17  -1.65557E-01   2.14090E-02   1.75750E-17
 -1.70139E-01   5.15951E-01   6.18857E-18  -1.70139E-01  -4.49371E-02   1.15579E-17
 -1.75236E-01   5.35608E-01  -1.64113E-16  -1.75236E-01  -9.36299E-02   4.26121E-18
 -1.66651E-01   5.78794E-01   7.76509E-17  -1.66651E-01  -1.48122E-01   9.88998E-18
 -1.39608E-01   6.29276E-01   7.28492E-17  -1.39608E-01  -1.65148E-01  -4.99975E-18
 -1.02387E-01   6.63551E-01   3.15152E-17  -1.02387E-01  -9.75852E-02   1.21798E-17
 -5.48696E-02   7.14117E-01  -6.22072E-17  -5.48696E-02  -3.39246E-02  -2.05435E-17
 -9.93791E-03   7.14810E-01  -5.05268E-19  -9.93791E-03   3.13011E-02  -1.71350E-17
  3.00469E-02   7.16535E-01  -9.73545E-17   3.00469E-02   1.15066E-01   5.24691E-18
  5.52073E-02   7.08138E-01  -2.42466E-16   5.52073E-02   1.45508E-01  -1.19382E-17
  7.41737E-02   6.86148E-01   1.41749E-16   7.41737E-02   1.72452E-01   1.21713E-17
  8.47035E-02   6.65497E-01  -9.61574E-17   8.47035E-02   1.98791E-01  -6.97958E-20
  9.30110E-02   6.50794E-01  -3.16058E-17   9.30110E-02   2.27478E-01   4.36695E-18
  9.57825E-02   6.32460E-01  -1.22277E-16   9.57825E-02   2.54118E-01  -1.03832E-17
  9.41278E-02   6.12670E-01   6.66381E-17   9.41278E-02   2.83915E-01   1.07579E-17
  9.05002E-02   5.94103E-01   1.21888E-17   9.05002E-02   3.12064E-01  -4.61911E-18
  8.37085E-02   5.79862E-01   1.67611E-17   8.37085E-02   3.23381E-01   8.26385E-18
  7.26704E-02   5.59273E-01   1.49962E-18   7.26704E-02   3.24680E-01   2.61539E-18
  6.15134E-02   5.44571E-01  -5.89151E-18   6.15134E-02   3.14753E-01  -1.11014E-17
  4.88146E-02   5.34116E-01   2.11812E-17   4.88146E-02   2.93733E-01   3.89297E-17
  3.57781E-02   5.23793E-01  -1.40853E-16   3.57781E-02   2.67785E-01   1.43798E-17
  2.32255E-02   5.17796E-01   1.58159E-17   2.32255E-02   2.41527E-01  -1.18317E-17
  1.15382E-02   5.15348E-01   1.10837E-16   1.15382E-02   2.16362E-01   5.22882E-18
  8.29332E-04   5.15471E-01  -6.72799E-17   8.29332E-04   1.95627E-01  -5.28645E-18
 -8.84840E-03   5.16664E-01  -2.33832E-17  -8.84840E-03   1.80819E-01  -1.16849E-17
 -1.72496E-02   5.18820E-01  -1.65456E-16  -1.72496E-02   1.69942E-01   6.36367E-19
