shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     6 -1.729986     1    26     0
     6 -1.647606     2    27     0
     6 -1.565226     3    28     0
     6 -1.482845     4    29     0
     6 -1.400465     5    30     0
     6 -1.318085     6    31     0
     6 -1.235704     7    32     0
     6 -1.153324     8    33     0
     6 -1.070944     9    34     0
     6 -0.988564    10    35     0
     6 -0.906183    11    36     0
     6 -0.823803    12    37     0
     6 -0.741423    13    38     0
     6 -0.659042    14    39     0
     6 -0.576662    15    40     0
     6 -0.494282    16    41     0
     6 -0.411901    17    42     0
     6 -0.329521    18    43     0
     6 -0.247141    19     0     0
     6 -0.164761    20     0     0
     6 -0.082380    21     0     0
     6 -0.000000    22     0     0
     6  0.082380    23     0     0
     6  0.164761    24     0     0
     6  0.247141    25     0     0
     6  0.329521    26     0     1
     6  0.411901    27     0     2
     6  0.494282    28     0     3
     6  0.576662    29     0     4
     6  0.659042    30     0     5
     6  0.741423    31     0     6
     6  0.823803    32     0     7
     6  0.906183    33     0     8
     6  0.988564    34     0     9
     6  1.070944    35     0    10
     6  1.153324    36     0    11
     6  1.235704    37     0    12
     6  1.318085    38     0    13
     6  1.400465    39     0    14
     6  1.482845    40     0    15
     6  1.565226    41     0    16
     6  1.647606    42     0    17
     6  1.729986    43     0    18
     7 -1.729986     1    31     0
     7 -1.647606     2    32     0
     7 -1.565226     3    33     0
     7 -1.482845     4    34     0
     7 -1.400465     5    35     0
     7 -1.318085     6    36     0
     7 -1.235704     7    37     0
     7 -1.153324     8    38     0
     7 -1.070944     9    39     0
     7 -0.988564    10    40     0
     7 -0.906183    11    41     0
     7 -0.823803    12    42     0
     7 -0.741423    13    43     0
     7 -0.659042    14     0     0
     7 -0.576662    15     0     0
     7 -0.494282    16     0     0
     7 -0.411901    17     0     0
     7 -0.329521    18     0     0
     7 -0.247141    19     0     0
     7 -0.164761    20     0     0
     7 -0.082380    21     0     0
     7 -0.000000    22     0     0
     7  0.082380    23     0     0
